Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BG1,SOLR,28/05/1993 00:00,,W/m2,P
BG1,SOLR,29/05/1993 00:00,,W/m2,P
BG1,SOLR,30/05/1993 00:00,,W/m2,P
BG1,SOLR,31/05/1993 00:00,,W/m2,P
BG1,SOLR,01/06/1993 00:00,,W/m2,P
BG1,SOLR,02/06/1993 00:00,,W/m2,P
BG1,SOLR,03/06/1993 00:00,,W/m2,P
BG1,SOLR,04/06/1993 00:00,,W/m2,P
BG1,SOLR,05/06/1993 00:00,,W/m2,P
BG1,SOLR,06/06/1993 00:00,,W/m2,P
BG1,SOLR,07/06/1993 00:00,,W/m2,P
BG1,SOLR,08/06/1993 00:00,,W/m2,P
BG1,SOLR,09/06/1993 00:00,,W/m2,P
BG1,SOLR,10/06/1993 00:00,,W/m2,P
BG1,SOLR,11/06/1993 00:00,,W/m2,P
BG1,SOLR,12/06/1993 00:00,,W/m2,P
BG1,SOLR,13/06/1993 00:00,,W/m2,P
BG1,SOLR,14/06/1993 00:00,,W/m2,P
BG1,SOLR,15/06/1993 00:00,,W/m2,P
BG1,SOLR,16/06/1993 00:00,,W/m2,P
BG1,SOLR,17/06/1993 00:00,,W/m2,P
BG1,SOLR,18/06/1993 00:00,,W/m2,P
BG1,SOLR,19/06/1993 00:00,,W/m2,P
BG1,SOLR,20/06/1993 00:00,,W/m2,P
BG1,SOLR,21/06/1993 00:00,,W/m2,P
BG1,SOLR,22/06/1993 00:00,,W/m2,P
BG1,SOLR,23/06/1993 00:00,,W/m2,P
BG1,SOLR,24/06/1993 00:00,,W/m2,P
BG1,SOLR,25/06/1993 00:00,,W/m2,P
BG1,SOLR,26/06/1993 00:00,,W/m2,P
BG1,SOLR,27/06/1993 00:00,,W/m2,P
BG1,SOLR,28/06/1993 00:00,,W/m2,P
BG1,SOLR,29/06/1993 00:00,,W/m2,P
BG1,SOLR,30/06/1993 00:00,,W/m2,P
BG1,SOLR,01/07/1993 00:00,,W/m2,P
BG1,SOLR,02/07/1993 00:00,,W/m2,P
BG1,SOLR,03/07/1993 00:00,,W/m2,P
BG1,SOLR,04/07/1993 00:00,,W/m2,P
BG1,SOLR,05/07/1993 00:00,,W/m2,P
BG1,SOLR,06/07/1993 00:00,,W/m2,P
BG1,SOLR,07/07/1993 00:00,,W/m2,P
BG1,SOLR,08/07/1993 00:00,,W/m2,P
BG1,SOLR,09/07/1993 00:00,,W/m2,P
BG1,SOLR,10/07/1993 00:00,,W/m2,P
BG1,SOLR,11/07/1993 00:00,,W/m2,P
BG1,SOLR,12/07/1993 00:00,,W/m2,P
BG1,SOLR,13/07/1993 00:00,,W/m2,P
BG1,SOLR,14/07/1993 00:00,,W/m2,P
BG1,SOLR,15/07/1993 00:00,,W/m2,P
BG1,SOLR,16/07/1993 00:00,,W/m2,P
BG1,SOLR,17/07/1993 00:00,,W/m2,P
BG1,SOLR,18/07/1993 00:00,,W/m2,P
BG1,SOLR,19/07/1993 00:00,,W/m2,P
BG1,SOLR,20/07/1993 00:00,,W/m2,P
BG1,SOLR,21/07/1993 00:00,,W/m2,P
BG1,SOLR,22/07/1993 00:00,,W/m2,P
BG1,SOLR,23/07/1993 00:00,,W/m2,P
BG1,SOLR,24/07/1993 00:00,,W/m2,P
BG1,SOLR,25/07/1993 00:00,,W/m2,P
BG1,SOLR,26/07/1993 00:00,,W/m2,P
BG1,SOLR,27/07/1993 00:00,,W/m2,P
BG1,SOLR,28/07/1993 00:00,,W/m2,P
BG1,SOLR,29/07/1993 00:00,,W/m2,P
BG1,SOLR,30/07/1993 00:00,,W/m2,P
BG1,SOLR,31/07/1993 00:00,,W/m2,P
BG1,SOLR,01/08/1993 00:00,,W/m2,P
BG1,SOLR,02/08/1993 00:00,,W/m2,P
BG1,SOLR,03/08/1993 00:00,,W/m2,P
BG1,SOLR,04/08/1993 00:00,,W/m2,P
BG1,SOLR,05/08/1993 00:00,,W/m2,P
BG1,SOLR,06/08/1993 00:00,,W/m2,P
BG1,SOLR,07/08/1993 00:00,,W/m2,P
BG1,SOLR,08/08/1993 00:00,,W/m2,P
BG1,SOLR,09/08/1993 00:00,,W/m2,P
BG1,SOLR,10/08/1993 00:00,,W/m2,P
BG1,SOLR,11/08/1993 00:00,,W/m2,P
BG1,SOLR,12/08/1993 00:00,,W/m2,P
BG1,SOLR,13/08/1993 00:00,,W/m2,P
BG1,SOLR,14/08/1993 00:00,,W/m2,P
BG1,SOLR,15/08/1993 00:00,,W/m2,P
BG1,SOLR,16/08/1993 00:00,,W/m2,P
BG1,SOLR,17/08/1993 00:00,,W/m2,P
BG1,SOLR,18/08/1993 00:00,,W/m2,P
BG1,SOLR,19/08/1993 00:00,,W/m2,P
BG1,SOLR,20/08/1993 00:00,,W/m2,P
BG1,SOLR,21/08/1993 00:00,,W/m2,P
BG1,SOLR,22/08/1993 00:00,,W/m2,P
BG1,SOLR,23/08/1993 00:00,,W/m2,P
BG1,SOLR,24/08/1993 00:00,,W/m2,P
BG1,SOLR,25/08/1993 00:00,,W/m2,P
BG1,SOLR,26/08/1993 00:00,,W/m2,P
BG1,SOLR,27/08/1993 00:00,,W/m2,P
BG1,SOLR,28/08/1993 00:00,,W/m2,P
BG1,SOLR,29/08/1993 00:00,,W/m2,P
BG1,SOLR,30/08/1993 00:00,,W/m2,P
BG1,SOLR,31/08/1993 00:00,,W/m2,P
BG1,SOLR,01/09/1993 00:00,,W/m2,P
BG1,SOLR,02/09/1993 00:00,,W/m2,P
BG1,SOLR,03/09/1993 00:00,,W/m2,P
BG1,SOLR,04/09/1993 00:00,,W/m2,P
BG1,SOLR,05/09/1993 00:00,,W/m2,P
BG1,SOLR,06/09/1993 00:00,,W/m2,P
BG1,SOLR,07/09/1993 00:00,,W/m2,P
BG1,SOLR,08/09/1993 00:00,,W/m2,P
BG1,SOLR,09/09/1993 00:00,,W/m2,P
BG1,SOLR,10/09/1993 00:00,,W/m2,P
BG1,SOLR,11/09/1993 00:00,,W/m2,P
BG1,SOLR,12/09/1993 00:00,,W/m2,P
BG1,SOLR,13/09/1993 00:00,,W/m2,P
BG1,SOLR,14/09/1993 00:00,,W/m2,P
BG1,SOLR,15/09/1993 00:00,,W/m2,P
BG1,SOLR,16/09/1993 00:00,,W/m2,P
BG1,SOLR,17/09/1993 00:00,,W/m2,P
BG1,SOLR,18/09/1993 00:00,,W/m2,P
BG1,SOLR,19/09/1993 00:00,,W/m2,P
BG1,SOLR,20/09/1993 00:00,,W/m2,P
BG1,SOLR,21/09/1993 00:00,,W/m2,P
BG1,SOLR,22/09/1993 00:00,,W/m2,P
BG1,SOLR,23/09/1993 00:00,,W/m2,P
BG1,SOLR,24/09/1993 00:00,,W/m2,P
BG1,SOLR,25/09/1993 00:00,,W/m2,P
BG1,SOLR,26/09/1993 00:00,,W/m2,P
BG1,SOLR,27/09/1993 00:00,,W/m2,P
BG1,SOLR,28/09/1993 00:00,,W/m2,P
BG1,SOLR,29/09/1993 00:00,,W/m2,P
BG1,SOLR,30/09/1993 00:00,,W/m2,P
BG1,SOLR,01/10/1993 00:00,,W/m2,P
BG1,SOLR,02/10/1993 00:00,,W/m2,P
BG1,SOLR,03/10/1993 00:00,,W/m2,P
BG1,SOLR,04/10/1993 00:00,,W/m2,P
BG1,SOLR,05/10/1993 00:00,,W/m2,P
BG1,SOLR,06/10/1993 00:00,,W/m2,P
BG1,SOLR,07/10/1993 00:00,,W/m2,P
BG1,SOLR,08/10/1993 00:00,,W/m2,P
BG1,SOLR,09/10/1993 00:00,,W/m2,P
BG1,SOLR,10/10/1993 00:00,,W/m2,P
BG1,SOLR,11/10/1993 00:00,,W/m2,P
BG1,SOLR,12/10/1993 00:00,,W/m2,P
BG1,SOLR,13/10/1993 00:00,,W/m2,P
BG1,SOLR,14/10/1993 00:00,,W/m2,P
BG1,SOLR,15/10/1993 00:00,,W/m2,P
BG1,SOLR,16/10/1993 00:00,,W/m2,P
BG1,SOLR,17/10/1993 00:00,,W/m2,P
BG1,SOLR,18/10/1993 00:00,,W/m2,P
BG1,SOLR,19/10/1993 00:00,,W/m2,P
BG1,SOLR,20/10/1993 00:00,,W/m2,P
BG1,SOLR,21/10/1993 00:00,,W/m2,P
BG1,SOLR,22/10/1993 00:00,,W/m2,P
BG1,SOLR,23/10/1993 00:00,,W/m2,P
BG1,SOLR,24/10/1993 00:00,,W/m2,P
BG1,SOLR,25/10/1993 00:00,,W/m2,P
BG1,SOLR,26/10/1993 00:00,,W/m2,P
BG1,SOLR,27/10/1993 00:00,,W/m2,P
BG1,SOLR,28/10/1993 00:00,,W/m2,P
BG1,SOLR,29/10/1993 00:00,,W/m2,P
BG1,SOLR,30/10/1993 00:00,,W/m2,P
BG1,SOLR,31/10/1993 00:00,,W/m2,P
BG1,SOLR,01/11/1993 00:00,,W/m2,P
BG1,SOLR,02/11/1993 00:00,,W/m2,P
BG1,SOLR,03/11/1993 00:00,,W/m2,P
BG1,SOLR,04/11/1993 00:00,,W/m2,P
BG1,SOLR,05/11/1993 00:00,,W/m2,P
BG1,SOLR,06/11/1993 00:00,,W/m2,P
BG1,SOLR,07/11/1993 00:00,,W/m2,P
BG1,SOLR,08/11/1993 00:00,,W/m2,P
BG1,SOLR,09/11/1993 00:00,,W/m2,P
BG1,SOLR,10/11/1993 00:00,,W/m2,P
BG1,SOLR,11/11/1993 00:00,,W/m2,P
BG1,SOLR,12/11/1993 00:00,,W/m2,P
BG1,SOLR,13/11/1993 00:00,,W/m2,P
BG1,SOLR,14/11/1993 00:00,,W/m2,P
BG1,SOLR,15/11/1993 00:00,,W/m2,P
BG1,SOLR,16/11/1993 00:00,,W/m2,P
BG1,SOLR,17/11/1993 00:00,,W/m2,P
BG1,SOLR,18/11/1993 00:00,,W/m2,P
BG1,SOLR,19/11/1993 00:00,,W/m2,P
BG1,SOLR,20/11/1993 00:00,,W/m2,P
BG1,SOLR,21/11/1993 00:00,,W/m2,P
BG1,SOLR,22/11/1993 00:00,,W/m2,P
BG1,SOLR,23/11/1993 00:00,,W/m2,P
BG1,SOLR,24/11/1993 00:00,,W/m2,P
BG1,SOLR,25/11/1993 00:00,,W/m2,P
BG1,SOLR,26/11/1993 00:00,,W/m2,P
BG1,SOLR,27/11/1993 00:00,,W/m2,P
BG1,SOLR,28/11/1993 00:00,,W/m2,P
BG1,SOLR,29/11/1993 00:00,,W/m2,P
BG1,SOLR,30/11/1993 00:00,,W/m2,P
BG1,SOLR,01/12/1993 00:00,,W/m2,P
BG1,SOLR,02/12/1993 00:00,,W/m2,P
BG1,SOLR,03/12/1993 00:00,,W/m2,P
BG1,SOLR,04/12/1993 00:00,,W/m2,P
BG1,SOLR,05/12/1993 00:00,,W/m2,P
BG1,SOLR,06/12/1993 00:00,,W/m2,P
BG1,SOLR,07/12/1993 00:00,,W/m2,P
BG1,SOLR,08/12/1993 00:00,,W/m2,P
BG1,SOLR,09/12/1993 00:00,,W/m2,P
BG1,SOLR,10/12/1993 00:00,,W/m2,P
BG1,SOLR,11/12/1993 00:00,,W/m2,P
BG1,SOLR,12/12/1993 00:00,,W/m2,P
BG1,SOLR,13/12/1993 00:00,,W/m2,P
BG1,SOLR,14/12/1993 00:00,,W/m2,P
BG1,SOLR,15/12/1993 00:00,,W/m2,P
BG1,SOLR,16/12/1993 00:00,,W/m2,P
BG1,SOLR,17/12/1993 00:00,,W/m2,P
BG1,SOLR,18/12/1993 00:00,,W/m2,P
BG1,SOLR,19/12/1993 00:00,,W/m2,P
BG1,SOLR,20/12/1993 00:00,,W/m2,P
BG1,SOLR,21/12/1993 00:00,,W/m2,P
BG1,SOLR,22/12/1993 00:00,,W/m2,P
BG1,SOLR,23/12/1993 00:00,,W/m2,P
BG1,SOLR,24/12/1993 00:00,,W/m2,P
BG1,SOLR,25/12/1993 00:00,,W/m2,P
BG1,SOLR,26/12/1993 00:00,,W/m2,P
BG1,SOLR,27/12/1993 00:00,,W/m2,P
BG1,SOLR,28/12/1993 00:00,,W/m2,P
BG1,SOLR,29/12/1993 00:00,,W/m2,P
BG1,SOLR,30/12/1993 00:00,,W/m2,P
BG1,SOLR,31/12/1993 00:00,,W/m2,P
BG1,SOLR,01/01/1994 00:00,,W/m2,P
BG1,SOLR,02/01/1994 00:00,,W/m2,P
BG1,SOLR,03/01/1994 00:00,,W/m2,P
BG1,SOLR,04/01/1994 00:00,,W/m2,P
BG1,SOLR,05/01/1994 00:00,,W/m2,P
BG1,SOLR,06/01/1994 00:00,,W/m2,P
BG1,SOLR,07/01/1994 00:00,,W/m2,P
BG1,SOLR,08/01/1994 00:00,,W/m2,P
BG1,SOLR,09/01/1994 00:00,,W/m2,P
BG1,SOLR,10/01/1994 00:00,,W/m2,P
BG1,SOLR,11/01/1994 00:00,,W/m2,P
BG1,SOLR,12/01/1994 00:00,,W/m2,P
BG1,SOLR,13/01/1994 00:00,,W/m2,P
BG1,SOLR,14/01/1994 00:00,,W/m2,P
BG1,SOLR,15/01/1994 00:00,,W/m2,P
BG1,SOLR,16/01/1994 00:00,,W/m2,P
BG1,SOLR,17/01/1994 00:00,,W/m2,P
BG1,SOLR,18/01/1994 00:00,,W/m2,P
BG1,SOLR,19/01/1994 00:00,,W/m2,P
BG1,SOLR,20/01/1994 00:00,,W/m2,P
BG1,SOLR,21/01/1994 00:00,,W/m2,P
