Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
MY1,CO,25/07/1993 00:00,,mg m-3,R
MY1,CO,26/07/1993 00:00,,mg m-3,R
MY1,CO,27/07/1993 00:00,,mg m-3,R
MY1,CO,28/07/1993 00:00,,mg m-3,R
MY1,CO,29/07/1993 00:00,,mg m-3,R
MY1,CO,30/07/1993 00:00,,mg m-3,R
MY1,CO,31/07/1993 00:00,,mg m-3,R
MY1,CO,01/08/1993 00:00,,mg m-3,R
MY1,CO,02/08/1993 00:00,,mg m-3,R
MY1,CO,03/08/1993 00:00,,mg m-3,R
MY1,CO,04/08/1993 00:00,,mg m-3,R
MY1,CO,05/08/1993 00:00,,mg m-3,R
MY1,CO,06/08/1993 00:00,,mg m-3,R
MY1,CO,07/08/1993 00:00,,mg m-3,R
MY1,CO,08/08/1993 00:00,,mg m-3,R
MY1,CO,09/08/1993 00:00,,mg m-3,R
MY1,CO,10/08/1993 00:00,,mg m-3,R
MY1,CO,11/08/1993 00:00,,mg m-3,R
MY1,CO,12/08/1993 00:00,,mg m-3,R
MY1,CO,13/08/1993 00:00,,mg m-3,R
MY1,CO,14/08/1993 00:00,,mg m-3,R
MY1,CO,15/08/1993 00:00,,mg m-3,R
MY1,CO,16/08/1993 00:00,,mg m-3,R
MY1,CO,17/08/1993 00:00,,mg m-3,R
MY1,CO,18/08/1993 00:00,,mg m-3,R
MY1,CO,19/08/1993 00:00,,mg m-3,R
MY1,CO,20/08/1993 00:00,,mg m-3,R
MY1,CO,21/08/1993 00:00,,mg m-3,R
MY1,CO,22/08/1993 00:00,,mg m-3,R
MY1,CO,23/08/1993 00:00,,mg m-3,R
MY1,CO,24/08/1993 00:00,,mg m-3,R
MY1,CO,25/08/1993 00:00,,mg m-3,R
MY1,CO,26/08/1993 00:00,,mg m-3,R
MY1,CO,27/08/1993 00:00,,mg m-3,R
MY1,CO,28/08/1993 00:00,,mg m-3,R
MY1,CO,29/08/1993 00:00,,mg m-3,R
MY1,CO,30/08/1993 00:00,,mg m-3,R
MY1,CO,31/08/1993 00:00,,mg m-3,R
MY1,CO,01/09/1993 00:00,,mg m-3,R
MY1,CO,02/09/1993 00:00,,mg m-3,R
MY1,CO,03/09/1993 00:00,,mg m-3,R
MY1,CO,04/09/1993 00:00,,mg m-3,R
MY1,CO,05/09/1993 00:00,,mg m-3,R
MY1,CO,06/09/1993 00:00,,mg m-3,R
MY1,CO,07/09/1993 00:00,,mg m-3,R
MY1,CO,08/09/1993 00:00,,mg m-3,R
MY1,CO,09/09/1993 00:00,,mg m-3,R
MY1,CO,10/09/1993 00:00,,mg m-3,R
MY1,CO,11/09/1993 00:00,,mg m-3,R
MY1,CO,12/09/1993 00:00,,mg m-3,R
MY1,CO,13/09/1993 00:00,,mg m-3,R
MY1,CO,14/09/1993 00:00,,mg m-3,R
MY1,CO,15/09/1993 00:00,,mg m-3,R
MY1,CO,16/09/1993 00:00,,mg m-3,R
MY1,CO,17/09/1993 00:00,,mg m-3,R
MY1,CO,18/09/1993 00:00,,mg m-3,R
MY1,CO,19/09/1993 00:00,,mg m-3,R
MY1,CO,20/09/1993 00:00,,mg m-3,R
MY1,CO,21/09/1993 00:00,,mg m-3,R
MY1,CO,22/09/1993 00:00,,mg m-3,R
MY1,CO,23/09/1993 00:00,,mg m-3,R
MY1,CO,24/09/1993 00:00,,mg m-3,R
MY1,CO,25/09/1993 00:00,,mg m-3,R
MY1,CO,26/09/1993 00:00,,mg m-3,R
MY1,CO,27/09/1993 00:00,,mg m-3,R
MY1,CO,28/09/1993 00:00,,mg m-3,R
MY1,CO,29/09/1993 00:00,,mg m-3,R
MY1,CO,30/09/1993 00:00,,mg m-3,R
MY1,CO,01/10/1993 00:00,,mg m-3,R
MY1,CO,02/10/1993 00:00,,mg m-3,R
MY1,CO,03/10/1993 00:00,,mg m-3,R
MY1,CO,04/10/1993 00:00,,mg m-3,R
MY1,CO,05/10/1993 00:00,,mg m-3,R
MY1,CO,06/10/1993 00:00,,mg m-3,R
MY1,CO,07/10/1993 00:00,,mg m-3,R
MY1,CO,08/10/1993 00:00,,mg m-3,R
MY1,CO,09/10/1993 00:00,,mg m-3,R
MY1,CO,10/10/1993 00:00,,mg m-3,R
MY1,CO,11/10/1993 00:00,,mg m-3,R
MY1,CO,12/10/1993 00:00,,mg m-3,R
MY1,CO,13/10/1993 00:00,,mg m-3,R
MY1,CO,14/10/1993 00:00,,mg m-3,R
MY1,CO,15/10/1993 00:00,,mg m-3,R
MY1,CO,16/10/1993 00:00,,mg m-3,R
MY1,CO,17/10/1993 00:00,,mg m-3,R
MY1,CO,18/10/1993 00:00,,mg m-3,R
MY1,CO,19/10/1993 00:00,,mg m-3,R
MY1,CO,20/10/1993 00:00,,mg m-3,R
MY1,CO,21/10/1993 00:00,,mg m-3,R
MY1,CO,22/10/1993 00:00,,mg m-3,R
MY1,CO,23/10/1993 00:00,,mg m-3,R
MY1,CO,24/10/1993 00:00,,mg m-3,R
MY1,CO,25/10/1993 00:00,,mg m-3,R
MY1,CO,26/10/1993 00:00,,mg m-3,R
MY1,CO,27/10/1993 00:00,,mg m-3,R
MY1,CO,28/10/1993 00:00,,mg m-3,R
MY1,CO,29/10/1993 00:00,,mg m-3,R
MY1,CO,30/10/1993 00:00,,mg m-3,R
MY1,CO,31/10/1993 00:00,,mg m-3,R
MY1,CO,01/11/1993 00:00,,mg m-3,R
MY1,CO,02/11/1993 00:00,,mg m-3,R
MY1,CO,03/11/1993 00:00,,mg m-3,R
MY1,CO,04/11/1993 00:00,,mg m-3,R
MY1,CO,05/11/1993 00:00,,mg m-3,R
